Region,Crop_Species,Water_Requirement,Yield,Shade_Tolerance
Temperate,Cotton,1539.4641167975649,6.072676258877178,0.5071695695027427
Temperate,Peanuts,1858.1205310808284,4.94865107241776,0.6896365446965022
Temperate,Cotton,575.5063988276167,5.290027846705884,0.2599014590493054
Tropical,Wheat,1495.083571725402,4.1049314213504235,0.04783463111276265
Temperate,Sugarcane,1618.6130721059171,5.344770117879711,0.8595583384352237
Coastal,Cotton,1864.1270309965435,6.010117698697319,0.012601335771989852
Mountain,Peanuts,1799.4959260639812,8.508745186809207,0.9639378671399212
Coastal,Corn,219.764002704748,8.149204005540199,0.3950666137437089
Temperate,Peanuts,502.9424094786596,4.266300389324638,0.6166418329665518
Mountain,Wheat,865.1033456615806,1.0715973720098408,0.43298686290473465
Arid,Cotton,690.4476078807772,9.077920454936976,0.943320778652193
Temperate,Wheat,510.4422353931632,7.440365568767745,0.8320122194746773
Coastal,Peanuts,1271.5801720183758,8.10220655846036,0.05532390552349631
Temperate,Wheat,753.6004332779304,1.085747437997656,0.4336034007650831
Mountain,Cotton,630.9551658021444,7.836614428445958,0.026609753995106344
Coastal,Corn,1974.5149876637631,9.576424823165773,0.7573145447913863
Tropical,Barley,219.07286272720413,2.686308870168184,0.1706876509370726
Mountain,Corn,1876.7175289532888,9.299303764532784,0.4527663765177381
Tropical,Corn,1252.1233363431247,6.077297640549957,0.524711247203603
Coastal,Wheat,436.4676985254872,8.862231517507372,0.807193709038628
Tropical,Soybean,1967.5730427954115,6.553150656416951,0.4445829865484482
Coastal,Rice,684.9273335135028,2.436226906693184,0.4475553896278175
Coastal,Sugarcane,876.3933176018326,6.439103529563359,0.9529319109008336
Mountain,Barley,1076.0770999353394,9.73973870814534,0.7450143767044068
Mountain,Barley,1953.9193191347392,3.8015342682663027,0.9158409637240003
Arid,Cotton,599.9078433046827,7.364759296630439,0.17700351767585976
Coastal,Peanuts,658.5843355781226,8.90350953280954,0.41709560908175547
Coastal,Cotton,207.40598284558146,7.476569033899589,0.8209799148498915
Temperate,Wheat,1002.283031106913,9.237645932956003,0.8867429485415934
Mountain,Rice,1062.157883205356,8.440381215494753,0.8986621745127803
Arid,Peanuts,1060.4670143377716,2.0979025308717825,0.8026220469282076
Tropical,Wheat,303.09605303311105,9.67831380471317,0.526122082037744
Coastal,Wheat,1577.667877970041,8.774784347444982,0.4412517695782099
Mountain,Barley,800.6586645241774,5.091351250441232,0.06224068766366164
Coastal,Soybean,644.8077687562113,2.4823004222924556,0.004852028158834787
Arid,Cotton,1220.8133975032074,3.101574353361885,0.8600422984351933
Coastal,Peanuts,355.5551307410387,3.842765668463689,0.9180341190756307
Temperate,Cotton,1872.23872159877,5.856851054973851,0.07447234977567374
Arid,Corn,993.955361773096,3.4033995979409655,0.7737623814565702
Temperate,Wheat,1586.0219796417487,9.707141450763636,0.3652860247579105
Coastal,Corn,1163.6832587533313,3.988825985580782,0.17843299884116715
Tropical,Soybean,959.788773339973,2.6212720402229603,0.04183685226273437
Tropical,Peanuts,1248.919528425535,8.956318447954636,0.35900330720918605
Temperate,Corn,1398.198806461676,1.1829470659223817,0.41036763211568317
Coastal,Corn,492.90882741049114,9.891133701821635,0.17542695122609864
Mountain,Peanuts,973.9900754993714,4.1487612475592215,0.6977639661762048
Temperate,Cotton,739.1471314090661,1.5226302194889396,0.9427394565157676
Coastal,Wheat,1964.2202462077619,9.303660534801802,0.40166595210244194
Mountain,Wheat,332.93481332087043,8.227570574902604,0.37093066328790836
Temperate,Corn,594.6132591277192,8.091593490717147,0.06512673350088682
Coastal,Soybean,1150.8683155993826,9.36478204758923,0.2200516030622286
Temperate,Cotton,1148.3427507189588,3.873714578480955,0.3155704009528537
Tropical,Rice,1586.200796908477,8.798053828801443,0.35951755589764833
Mountain,Barley,1507.7414435171045,6.880913570010563,0.18021874393199389
Mountain,Peanuts,358.9359645286944,4.878742961281596,0.6801323366270237
Arid,Cotton,367.22356487017385,7.062632865128291,0.93770488495688
Mountain,Soybean,1843.042234994991,3.179065738666508,0.5814381707870226
Coastal,Barley,622.0108505889192,8.063996738649964,0.3255065737995051
Arid,Wheat,1293.894348349943,2.522002429581349,0.9624153201659508
Coastal,Wheat,219.5699556738981,5.130354222854955,0.8441961354080186
Coastal,Peanuts,1623.3362057310949,9.385427759017873,0.8917384868883292
Arid,Peanuts,248.38189657962715,6.383185621341796,0.29622439954760715
Arid,Soybean,588.0978824469113,3.826825608864322,0.986182264005197
Coastal,Peanuts,1822.5691820929087,9.101590585143422,0.018749507175182534
Tropical,Barley,1785.2742597960223,7.741358955329341,0.3328853627635837
Tropical,Wheat,1078.8277450708215,2.3757388561273673,0.24800956032969534
Temperate,Soybean,1504.7596538643313,8.598084641720755,0.5486977345484484
Tropical,Sugarcane,1861.4787091550422,9.794439313943151,0.7124245752723277
Tropical,Barley,1578.1559120700174,3.6789317660737666,0.7987208888966467
Coastal,Soybean,726.8735656417684,4.7321880410913035,0.3577250687793422
Arid,Wheat,645.9885782550234,1.8679174261636025,0.6486552007496458
Coastal,Wheat,1805.1413705165023,8.272855809899049,0.3918650472674091
Mountain,Rice,1813.3069682464381,2.2991249907772033,0.22153109976277685
Mountain,Corn,528.862600307825,7.77383769364746,0.09691003501855477
Coastal,Cotton,847.1192171465835,4.239306267776572,0.9015747840882553
Tropical,Wheat,273.728371583689,3.3327201660759975,0.8878765659994332
Tropical,Sugarcane,1530.0898942375459,8.369991637470141,0.3228435267170926
Tropical,Peanuts,285.7346325427029,3.488769233528718,0.6232645117941453
Coastal,Sugarcane,1652.0875168628547,1.2857642145264103,0.6110132725778933
Mountain,Corn,1551.5250132167007,6.4172727781472965,0.8190206423607087
Coastal,Cotton,1734.2918912366154,3.2825039712845605,0.45542432409198574
Arid,Cotton,1518.791758980382,7.786579557148628,0.41243664574604844
Coastal,Wheat,777.6817475884017,1.3976922259484619,0.31809808230603986
Arid,Rice,1017.8740299287183,5.673251368672659,0.2280357077737113
Coastal,Barley,1277.9387181532143,4.430139508571543,0.5802973663074642
Mountain,Soybean,1625.7259586130997,8.857088398422784,0.2188805998498562
Arid,Peanuts,1691.1208489589044,8.25404111234771,0.34168123324732025
Arid,Soybean,827.0675449898717,7.529562555917374,0.09983960773754086
Mountain,Soybean,1892.524588009562,5.882146648839671,0.5629617020503227
Coastal,Wheat,404.91765307367547,6.082577799494546,0.15004421682593216
Coastal,Sugarcane,589.422364352582,8.555332549261475,0.733461533865562
Mountain,Sugarcane,461.6465997089406,8.13855127353008,0.1023722423875345
Arid,Peanuts,1895.826093727491,3.7462195695904796,0.48249047609175233
Arid,Peanuts,1772.4188604224908,1.8014513153587477,0.6885836001802221
Temperate,Peanuts,328.85574907078365,4.8588967186321455,0.02218101088995017
Mountain,Wheat,1725.2884698717319,8.700267186021385,0.8647306033422247
Temperate,Barley,259.4196916782846,2.2625762815997663,0.30929693408934544
Temperate,Corn,631.6678749426661,1.098615747476714,0.535868715127675
Mountain,Soybean,273.73878372129855,9.433086414056206,0.8857257998346523
Mountain,Barley,1247.5889774294462,1.3527068589617581,0.9592880953281554
Mountain,Cotton,1760.4707045364746,5.566510829455263,0.5843870760064662
Coastal,Rice,381.350368914481,7.808946337643323,0.5649932005675987
Tropical,Sugarcane,1844.7915053649688,4.379021139286972,0.7723082163813939
Mountain,Peanuts,340.1688491332843,5.456534770639106,0.7556087156592216
Temperate,Barley,1986.111555121577,5.888932371192259,0.7572529309982352
Tropical,Wheat,1962.728118727275,5.036888027650482,0.354458066056502
Coastal,Barley,944.1546605584037,3.769772998859153,0.3247898137342363
Tropical,Peanuts,1167.6389187512525,2.211700510527507,0.833993138701894
Mountain,Corn,723.2141005989931,2.082611984118955,0.07513420892160805
Mountain,Soybean,1871.4529708199625,8.993362305009372,0.3547090568890454
Coastal,Soybean,632.6201205869187,3.7035565097512366,0.25226042564771567
Arid,Corn,326.31213374789274,3.531974188527317,0.4987025500139912
Tropical,Cotton,777.3658342930287,7.274153952098412,0.5621222343797975
Coastal,Cotton,1891.35047301876,5.473843368515157,0.7380212848857869
Tropical,Corn,1187.8238983109281,7.906688644753366,0.5600104092496311
Coastal,Cotton,749.4308987842497,4.0829269629650975,0.6270452745063425
Arid,Barley,1281.7381172047587,3.8677359987644255,0.06490659659387621
Tropical,Sugarcane,982.6308865101172,3.7531941347650877,0.03250365691276169
Coastal,Soybean,822.0207949260862,7.806538790147502,0.5981911863337411
Temperate,Rice,1986.5343115242672,9.549130394150774,0.8084746874826808
Coastal,Sugarcane,1457.060314411436,7.15673252294146,0.49132903847465326
Mountain,Peanuts,1538.0516836163258,7.016392733448285,0.30924892399193216
Coastal,Sugarcane,201.30200612863553,3.7269157694387327,0.8128181878099491
Temperate,Sugarcane,660.2898997315287,4.5784760268387945,0.8394523877028085
Mountain,Corn,1857.1192625224871,9.870152439970438,0.596517569310396
Tropical,Sugarcane,429.69991993490265,2.6504614639396378,0.25669755500677305
Coastal,Sugarcane,281.8812290989828,5.294415246644452,0.7967458280013431
Temperate,Soybean,621.9420872376954,6.805802158255592,0.5104440073510832
Temperate,Corn,1329.1891443318757,2.889879999220792,0.2631241054116368
Temperate,Corn,1413.336755996016,3.3509027062701726,0.6008667261792995
Tropical,Cotton,881.5461781004371,8.455595243818584,0.12801246926178111
Coastal,Soybean,1204.3865070360184,2.3592277570769884,0.16442971825612385
Mountain,Wheat,1035.0210589190951,4.349670008764422,0.034876437669421945
Temperate,Wheat,1513.283439293893,7.832007622756634,0.40929239547235996
Tropical,Sugarcane,1477.359877969208,4.75051769526788,0.25826656492887057
Coastal,Cotton,1394.8074737245238,4.494754161318518,0.8940908003151042
Coastal,Cotton,643.0990851617316,8.129870534871655,0.7191943855572952
Temperate,Wheat,475.28553321297227,4.790768733589671,0.9938991010384189
Temperate,Wheat,1809.2609318801456,8.517625056472962,0.47634975930002343
Temperate,Soybean,348.7978143010182,7.2491151987715465,0.753944784305314
Arid,Soybean,861.453400628015,9.454105027569963,0.5986552011035631
Coastal,Soybean,288.24843384137284,8.116925859582778,0.12232680655185879
Mountain,Sugarcane,1788.6208788535916,8.559612885741686,0.6290190609744964
Temperate,Cotton,683.3859707235233,1.369145798348082,0.24488506258406162
Tropical,Cotton,1757.1170570732938,8.732354621850114,0.6685592692275195
Tropical,Peanuts,276.24108472789396,7.022641903561961,0.10196276357148315
Coastal,Sugarcane,1616.0207030531167,6.090888836922492,0.8027627686823623
